bibkey,ss_id,all_ss_ids,comment
Ehte17,ba913e2c03ece1c75f0af4d16dd11c7ffbc6e3ba,,single doi match
Ehte18,a58015a59562caf325a3f05288147704c055ce8d,,single doi match
Eile08,01e9a45f2aa66160883ff062da13e14f4ea96199,,single doi match
Eise12,bb07c9b92d8d59595eb0a5e135c3f54ebae9e43b,,single doi match
Emau15,fb1084b454e9b6f203c860e6f89ca4389cd1a8e9,,single doi match
Emau19,88d7b3243c9083be8542ce1fb171241c8e069948,,single doi match
Enge01,2c91e8d6e8f91f58003862001c4d9b65ac2e966e,,single doi match
Enge03,047a1a51dff311bfdbf5eed4ab11805d059bdf84,,single doi match
Enge03b,a77f68203e9f4e3b0bb83aea1fdc085ee50af4d4,,single doi match
Enge05,bc98a58c4ad70fe8e10233541b8b7174239c649f,,single doi match
Enge05b,2ef80dbd4ef99216073e7287dfd6f785d1a15877,,single doi match
Enge06,0d273948d15fe1bc231a712a308804f8426ee988,,single doi match
Enge06a,878d8de48dd9eafa5ec823e17d918b56c856eed9,,single doi match
Enge07,e5991fe901cb59f561010d99925459a0a99cb9ac,,single doi match
Fait21,dda2624afa1a1e32c91322c192e397913fe2fc7d,,single doi match
Fens13,14629625274f335f1c62fddf4caf435dde0489f6,,single doi match
Fing19,14d5f7dc42e1af0d92d9e3e3124619a0cc0e395d,,single doi match
Firo10,2f7749b662adea99d4231d993319f7f24afb844b,,single doi match
Firo10a,ee26d8460390b683da4bbdf90ce004257b400878,,single doi match
Firo12,70cb5fd701a0abcb387281dcd399ba803df711b4,,single doi match
Firo12a,bad6b84ad1b5439be33b69909ff18b2553f2f403,,single doi match
Fond13,13aa11f60bf53aee440facaee410163650dbedf3,,single doi match
Fuet07,6ee67f5869179ec04d752869d0fb9f7f41131fd8,,single doi match
Gal21,3b4df694a48f1f01b83215e8be048e1f83ef9bb9,,single doi match
Gall13,a9085fd32666cee3c7dd7117d4654f4e09ad4337,,single doi match
Gall16,0586cbd2a31688a22dac13eafb768fa2edf56b47,,single doi match
Gall17,e15e0cd21632aa9d6643b314a4d1d1a6580f2b39,,single doi match
Gall17a,02a6b1ae18332136192bc7977c366e6340e5c62c,,single doi match
Garc08a,56f820f835847a8d976f67889dce8d3904d838cf,,single doi match
Garc09,8c75cf4de784901aba7d8671a1be37789073407b,,single doi match
Garc09a,87a7e292cd3b829687b776d158feb9ba2a64c6ac,,single doi match
Gatt14,25c32af274aa8bed2e01063cc8d71c4d1ff238f7,,single doi match
Gees19,c7ce6b90707871b922aca4cb6a8b16625980788b,"['2d7797e69a35b5ffe021a2762ef251764562dca4', 'c7ce6b90707871b922aca4cb6a8b16625980788b']","multiple doi matches ['2d7797e69a35b5ffe021a2762ef251764562dca4', 'c7ce6b90707871b922aca4cb6a8b16625980788b'], took the first one with most citations"
Geij18,8e8b923c809ab504558fd4822a7696c6e2492cfe,,single doi match
Geij21,4ea1f801a7d14b2bf284fef25d83bcc222c01629,,single doi match
